Código Único,Nombre de inversión,ARCHIVO_ORIGEN,UBIGEO_DESDE_NOMBRE,UBIGEO_VALIDADO_PMI,UBIGEO_FINAL_VALIDADO,PMI_ENCONTRADO,COINCIDE_NOMBRE_PMI,METODO_EXTRACCION_UBIGEO,CONFIANZA_UBIGEO,ESTADO_UBIGEO,UBIGEOS_CANDIDATOS,OBSERVACION_UBIGEO
2198633.0,"AMPLIACIÓN Y MEJORAMIENTO DEL SERVICIO DE AGUA POTABLE E INSTALACIÓN DEL SERVICIO DE SANEAMIENTO DEL CENTRO POBLADO RURAL DE NUEVA FLORIDA, DISTRITO DE BELLAVISTA, PROVINCIA DE BELLAVISTA, DEPARTAMENTO DE SAN MARTÍN",Cartera_260824-123814.xlsx,220201,,220201,,,EXTRAIDO_DESDE_NOMBRE,ALTA,RESUELTO,220201,Coincidencia resuelta usando provincia BELLAVISTA
2157797.0,"INSTALACION DE LOS SISTEMA DE AGUA POTABLE Y ALCANTARILLADO DE LA LOCALIDAD DE MARCONA, DISTRITO DE MARCONA - NAZCA - ICA",Cartera_260824-123814.xlsx,110304,,110304,,,EXTRAIDO_DESDE_NOMBRE,ALTA,RESUELTO,110304,Coincidencia exacta y única por nombre
2412243.0,"MEJORAMIENTO Y AMPLIACION DE LOS SERVICIOS DE AGUA POTABLE, ALCANTARILLADO Y PTAR EN LA COMUNIDAD CAMPESINA DE SAN PEDRO DE RACCO DEL DISTRITO DE SIMON BOLIVAR - PROVINCIA DE PASCO - DEPARTAMENTO DE PASCO",Cartera_260824-123814.xlsx,190109,,190109,,,EXTRAIDO_DESDE_NOMBRE,ALTA,RESUELTO,190109,Coincidencia exacta y única por nombre
2178849.0,"MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE AGUA POTABLE E INSTALACION DE UNIDADES BASICAS DE SANEAMIENTO(UBS) EN LA LOCALIDAD DE CANAL, DISTRITO DE SAMUGARI, PROVINCIA DE LA MAR - AYACUCHO",Cartera_260824-123814.xlsx,050509,,050509,,,EXTRAIDO_DESDE_NOMBRE,ALTA,RESUELTO,050509,Coincidencia exacta y única por nombre
2133298.0,"MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO DE LA LOCALIDAD DE ASILLO , DISTRITO DE ASILLO - AZANGARO - PUNO",Cartera_260824-123814.xlsx,210204,,210204,,,EXTRAIDO_DESDE_NOMBRE,ALTA,RESUELTO,210204,Coincidencia exacta y única por nombre
2079199.0,"MEJORAMIENTO Y AMPLIACION DE LOS SISTEMAS DE AGUA POTABLE, DESAGUE Y PLANTA DE TRATAMIENTO EN EL CENTRO POBLADO DE HUYRO , DISTRITO DE HUAYOPATA - LA CONVENCION - CUSCO",Cartera_260824-123814.xlsx,080903,,080903,,,EXTRAIDO_DESDE_NOMBRE,ALTA,RESUELTO,080903,Coincidencia exacta y única por nombre
2168996.0,CONSTRUCCIÓN Y MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE Y LETRINAS DE LAS LOCALIDADES DE DE SANTA ROSA Y SAN VICENTE DE PIEDRA RODADA - DISTRITO Y PROVINCIA DE SULLANA - DEPARTAMENTO DE PIURA,Cartera_260824-123814.xlsx,,200601,200601,SI,SI,VALIDADO_PMI_POR_CUI,ALTA,RESUELTO,,"No se detectó patrón ""DISTRITO DE"" en el nombre | Validado por PMI: SULLANA"
2191608.0,"MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE, SERVICIO DE ALCANTARILLADO Y TRATAMIENTO DE AGUAS RESIDUALES EN LA CIUDAD DE SAN MIGUEL, DISTRITO DE SAN MIGUEL, PROVINCIA DE LA MAR - AYACUCHO",Cartera_260824-123814.xlsx,050501,,050501,,,EXTRAIDO_DESDE_NOMBRE,ALTA,RESUELTO,050501,Coincidencia resuelta usando provincia LA MAR
2500953.0,"MEJORAMIENTO DEL SISTEMA DE DRENAJE PLUVIAL DEL JR. ENRIQUE LÓPEZ C-03, C-04, JR. RAMÓN CASTILLA C-01, C-02, JR. RICARDO PALMA C-01, C-02, AV 20 DE MAYO C-04, C-05, C-06, JR. ADELINA RAMÍREZ C-01, PSJ SIN NOMBRE C-01, JR LOS JARDINES C-01, JESÚS MORÍ C-01, EN EL CASERIO 20 DE MAYO DEL DISTRITO DE SAN JOSE DE SISA - PROVINCIA DE EL DORADO - DEPARTAMENTO DE SAN MARTIN",Cartera_260824-123814.xlsx,220301,,220301,,,EXTRAIDO_DESDE_NOMBRE,ALTA,RESUELTO,220301,Coincidencia exacta y única por nombre
2272942.0,"MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE, ALCANTARILLADO Y PTAR DE LA PC HAQUIRA, DISTRITO DE HAQUIRA - COTABAMBAS - APURIMAC",Cartera_260824-123814.xlsx,030504,,030504,,,EXTRAIDO_DESDE_NOMBRE,ALTA,RESUELTO,030504,Coincidencia exacta y única por nombre
2168929.0,"CONSTRUCCIÓN DEL SISTEMA DE AGUA POTABLE Y SANEAMIENTO EN LAS LOCALIDADES DE PAMPA ELERA BAJA Y  ALTA, PUEBLO NUEVO DE PAMPA ELERA ALTA, CHIPILLICO, POTRERILLO, EL SAUCE, MONTE DE LOS OLIVOS Y TONGAL, DISTRITO LAS LOMAS, PROV. DE PIURA, DEP. DE PIURA",Cartera_260824-123814.xlsx,,200111,200111,SI,SI,VALIDADO_PMI_POR_CUI,ALTA,RESUELTO,,"No se detectó patrón ""DISTRITO DE"" en el nombre | Validado por PMI: LAS LOMAS"
2295629.0,"MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE E INSTALACION DEL SERVICIO DE SANEAMIENTO EN EL CENTRO POBLADO BARRANQUITA, DISTRITO DE PICOTA , PROVINCIA DE PICOTA - SAN MARTIN",Cartera_260824-123814.xlsx,220701,,220701,,,EXTRAIDO_DESDE_NOMBRE,ALTA,RESUELTO,220701,Coincidencia exacta y única por nombre
2280879.0,AMPLIACION DEL SISTEMA DE DISTRIBUCION DE AGUA POTABLE DE LA CIUDAD DEL CUSCO,Cartera_260824-123814.xlsx,,,,NO,NO,FALLIDO,BAJA,REVISAR_CONFLICTO,,"No se detectó patrón ""DISTRITO DE"" en el nombre | Datos PMI no cruzaron con GPKG (- TODOS - - CUSCO)"
2539320.0,MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE Y DISPOSICIÓN SANITARIA DE EXCRETAS DE LA LOCALIDAD LA MENTA ALTA DEL DISTRITO DE LAS LOMAS - PROVINCIA DE PIURA - DEPARTAMENTO DE PIURA,Cartera_260824-123814.xlsx,200111,,200111,,,EXTRAIDO_DESDE_NOMBRE,ALTA,RESUELTO,200111,Coincidencia exacta y única por nombre
2325346.0,"CREACION DEL SISTEMA DE DRENAJE PLUVIAL  EN LOS JIRONES MARIANO BELLIDO, 24 DE JUNIO, LA MAR, MUNIVE, MADRID Y WARI, DISTRITO DE SAN JUAN BAUTISTA - HUAMANGA - AYACUCHO",Cartera_260824-123814.xlsx,,050110,050110,SI,SI,VALIDADO_PMI_POR_CUI,ALTA,RESUELTO,"050110, 160113, 110110",Distrito SAN JUAN BAUTISTA es ambiguo y no se extrajo provincia | Validado por PMI: SAN JUAN BAUTISTA
2170972.0,"INSTALACION DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO BASICO DE LA LOCALIDAD DE PALTARUMI, DISTRITO DE DANIEL HERNANDEZ - TAYACAJA - HUANCAVELICA",Cartera_260824-123814.xlsx,090706,,090706,,,EXTRAIDO_DESDE_NOMBRE,ALTA,RESUELTO,090706,Coincidencia exacta y única por nombre
2170995.0,"INSTALACION DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO BASICO DE LA LOCALIDAD DE VILLAPAMPA - RUPASCCA, DISTRITO DE YAULI - HUANCAVELICA - HUANCAVELICA",Cartera_260824-123814.xlsx,,090117,090117,SI,SI,VALIDADO_PMI_POR_CUI,ALTA,RESUELTO,"120810, 090117, 120433",Distrito YAULI es ambiguo y no se extrajo provincia | Validado por PMI: YAULI
2170980.0,"INSTALACION DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO BASICO DE LA LOCALIDAD DE QUINTAO , DISTRITO DE COLCABAMBA - TAYACAJA - HUANCAVELICA",Cartera_260824-123814.xlsx,,090705,090705,SI,SI,VALIDADO_PMI_POR_CUI,ALTA,RESUELTO,"090705, 020103, 030405",Distrito COLCABAMBA es ambiguo y no se extrajo provincia | Validado por PMI: COLCABAMBA
2235420.0,"MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE E INSTALACION DE LA DISPOSICION SANITARIA DE EXCRETAS Y DE AGUAS GRISES EN LA COMUNIDAD NATIVA DE YUPICUSA, DISTRITO DE IMAZA, PROVINCIA DE BAGUA, DEPARTAMENTO DE AMAZONAS",Cartera_260824-123814.xlsx,010205,,010205,,,EXTRAIDO_DESDE_NOMBRE,ALTA,RESUELTO,010205,Coincidencia exacta y única por nombre
2280260.0,"MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO BASICO EN EL CENTRO POBLADO SANTA ROSA, DISTRITO DE SANTO TOMAS - CUTERVO - CAJAMARCA",Cartera_260824-123814.xlsx,,060613,060613,SI,SI,VALIDADO_PMI_POR_CUI,ALTA,RESUELTO,"060613, 080701, 010521",Distrito SANTO TOMAS es ambiguo y no se extrajo provincia | Validado por PMI: SANTO TOMAS
2235702.0,"AMPLIACION Y MEJORAMIENTO DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO DEL CENTRO POBLADO SAN PEDRO ALTO, DISTRITO DE AGALLPAMPA - OTUZCO - LA LIBERTAD",Cartera_260824-123814.xlsx,130602,,130602,,,EXTRAIDO_DESDE_NOMBRE,ALTA,RESUELTO,130602,Coincidencia exacta y única por nombre
2178853.0,"MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE AGUA POTABLE E INSTALACION DE UNIDADES BASICAS DE SANEAMIENTO (UBS) EN LA LOCALIDAD DE HUAYAO, DISTRITO DE TAMBO, PROVINCIA DE LA MAR - AYACUCHO",Cartera_260824-123814.xlsx,050508,,050508,,,EXTRAIDO_DESDE_NOMBRE,ALTA,RESUELTO,050508,Coincidencia resuelta usando provincia LA MAR
2191604.0,"MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE, SERVICIO DE ALCANTARILLADO Y TRATAMIENTO DE AGUAS RESIDUALES EN LA CIUDAD DE QARHUAPAMPA, DISTRITO DE TAMBO, PROVINCIA DE LA MAR - AYACUCHO",Cartera_260824-123814.xlsx,050508,,050508,,,EXTRAIDO_DESDE_NOMBRE,ALTA,RESUELTO,050508,Coincidencia resuelta usando provincia LA MAR
2289960.0,"MEJORAMIENTO Y AMPLIACION DE LOS SERVICIOS DE AGUA POTABLE Y DISPOSICION SANITARIA DE EXCRETAS DE LA LOCALIDAD DE SANTIAGO, DISTRITO DE ACOMAYO, PROVINCIA DE ACOMAYO - CUSCO",Cartera_260824-123814.xlsx,080201,,080201,,,EXTRAIDO_DESDE_NOMBRE,ALTA,RESUELTO,080201,Coincidencia exacta y única por nombre
2186352.0,MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO EN LA COMUNIDAD DE CCOCHAPATA - DISTRITO TUPAC AMARU- PROVINCIA CANAS - REGION CUSCO,Cartera_260824-123814.xlsx,,080508,080508,SI,SI,VALIDADO_PMI_POR_CUI,ALTA,RESUELTO,,"No se detectó patrón ""DISTRITO DE"" en el nombre | Validado por PMI: TUPAC AMARU"
2400940.0,"INSTALACION DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO EN EL CENTRO POBLADO DE SANTA EMILIA, DISTRITO DE NAUTA , PROVINCIA DE LORETO - LORETO",Cartera_260824-123814.xlsx,160301,,160301,,,EXTRAIDO_DESDE_NOMBRE,ALTA,RESUELTO,160301,Coincidencia exacta y única por nombre
2266082.0,"MEJORAMIENTO Y AMPLIACIÓN DEL SERVICIO DE AGUA POTABLE E INSTALACIÓN DEL SERVICIO DE SANEAMIENTO EN EL CENTRO POBLADO SHAMPUYACU, DISTRITO DE AWAJUN - RIOJA - SAN MARTÍN",Cartera_260824-123814.xlsx,220802,,220802,,,EXTRAIDO_DESDE_NOMBRE,ALTA,RESUELTO,220802,Coincidencia exacta y única por nombre
