NIVEL,SECTOR,ENTIDAD,CODIGO_UNICO,CODIGO_SNIP,NOMBRE_INVERSION,NOMBRE_OPMI,NOMBRE_UF,NOMBRE_UEI,SEC_EJEC,NOMBRE_UEP,ESTADO,SITUACION,MONTO_VIABLE,COSTO_ACTUALIZADO,CTRL_CONCURR,MONTO_LAUDO,MONTO_FIANZA,ALTERNATIVA,FECHA_REGISTRO,FECHA_VIABILIDAD,FUNCION,PROGRAMA,SUBPROGRAMA,MARCO,TIPO_INVERSION,DES_MODALIDAD,REGISTRADO_PMI,PMI_ANIO_1,PMI_ANIO_2,PMI_ANIO_3,PMI_ANIO_4,EXPEDIENTE_TECNICO,INFORME_CIERRE,TIENE_F9,FEC_REG_F9,ETAPA_F9,PRIMER_DEVENGADO,ULTIMO_DEVENGADO,DEVEN_ACUMUL_ANIO_ANT,DEV_ANIO_ACTUAL,PIA_ANIO_ACTUAL,PIM_ANIO_ACTUAL,CERTIF_ANIO_ACTUAL,COMPROM_ANUAL_ANIO_ACTUAL,SALDO_EJECUTAR,TIENE_F8,ETAPA_F8,TIENE_F12B,TIENE_AVAN_FISICO,AVANCE_FISICO,AVANCE_EJECUCION,ULT_FEC_DECLA_ESTIM,DES_TIPOLOGIA,IND_IOARR_EMERG,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,LATITUD,LONGITUD,FEC_INI_EJECUCION,FEC_FIN_EJECUCION,FEC_INI_EJEC_FISICA,FEC_FIN_EJEC_FISICA,NUM_HABITANTES_BENEF,MONTO_ET_F8,ANIO_PROCESO
GL,GOBIERNOS LOCALES,MUNICIPALIDAD PROVINCIAL DE MELGAR,2735452,2735452,"ADQUISICION DE CAMION CISTERNA EN EL(LA) ENTIDAD PRESTADORA DE SERVICIOS DE SANEAMIENTO AGUAS DEL ALTIPLANO SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA JR. CUSCO N° 324 DISTRITO DE AYAVIRI, PROVINCIA MELGAR, DEPARTAMENTO PUNO",OPMI DE LA MUNICIPALIDAD PROVINCIAL DE MELGAR,UF DE E.P.S. AGUAS ALTIPLANO S.R.L.,E.P.S. AGUAS DEL ALTIPLANO S.R.L.,500171,ENTIDAD PRESTADORA DE SERVICIOS DE SANEAMIENTO AGUAS DEL ALTIPLANO SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,ACTIVO,APROBADO,264988.0,264988.0,0.0,0.0,0.0,,2026-07-15 00:00:00,2026-07-29 00:00:00,"PLANEAMIENTO, GESTIÓN Y RESERVA DE CONTINGENCIA",GESTIÓN,INFRAESTRUCTURA Y EQUIPAMIENTO,INVIERTE,INVERSIONES IOARR,ADMINISTRACIÓN DIRECTA,NO,,,,,SI,NO,NO,,,,,0.0,0.0,0.0,264988,0.0,0.0,0.0,SI,Ejecución física (C),SI,NO,0.0,0.0,2026-08-11 17:30:25,DESARROLLO INSTITUCIONAL,NO,PUNO,MELGAR,AYAVIRI,210801,-14.881642154560716,-70.59230271048321,2026-07-16 00:00:00,2026-11-01 00:00:00,2026-07-16 00:00:00,2026-11-01 00:00:00,,264988.0,2026
GL,GOBIERNOS LOCALES,MUNICIPALIDAD PROVINCIAL DE PUNO,2727364,2727364,"ADQUISICION DE UNIDAD MOVIL EN EL(LA) EMPRESA MUNICIPAL DE SANEAMIENTO BASICO DE PUNO S.A. TIPO MINI HIDROJET EN EL  DISTRITO DE PUNO, PROVINCIA PUNO, DEPARTAMENTO PUNO",OPMI DE LA MUNICIPALIDAD PROVINCIAL DE PUNO,UF DE LA MUNICIPALIDAD PROVINCIAL DE PUNO,UEI DE LA MUNICIPALIDAD PROVINCIAL DE PUNO,500139,EMPRESA MUNICIPAL DE SANEAMIENTO BASICO DE PUNO S.A.,ACTIVO,APROBADO,850000.0,850000.0,0.0,0.0,0.0,,2026-04-14 00:00:00,2026-04-14 00:00:00,"PLANEAMIENTO, GESTIÓN Y RESERVA DE CONTINGENCIA",GESTIÓN,INFRAESTRUCTURA Y EQUIPAMIENTO,INVIERTE,INVERSIONES IOARR,ADMINISTRACIÓN DIRECTA,NO,,,,,SI,NO,NO,,,,,0.0,0.0,,0,,,850000.0,SI,Ejecución física (C),SI,NO,0.0,0.0,2026-06-24 15:18:35,DESARROLLO INSTITUCIONAL,NO,PUNO,PUNO,PUNO,210101,-15.838906298400513,-70.03045746032596,2026-04-15 00:00:00,2026-08-12 00:00:00,2026-04-15 00:00:00,2026-08-12 00:00:00,,850000.0,2026
GN,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO","MINISTERIO DE VIVIENDA, CONSTRUCCION Y SANEAMIENTO",2364961,157629,"MEJORAMIENTO DEL SERVICIO INSTITUCIONAL DE LA EMPRESA MUNICIPAL DE SANEAMIENTO BASICO DE PUNO  - EMSAPUNO S.A., DISTRITO DE PUNO, PROVINCIA Y DEPARTAMENTO DE PUNO",OPMI DE LA MUNICIPALIDAD PROVINCIAL DE PUNO,UF DE LA MUNICIPALIDAD PROVINCIAL DE PUNO,UEI DE LA MUNICIPALIDAD PROVINCIAL DE PUNO,500139,EMPRESA MUNICIPAL DE SANEAMIENTO BASICO DE PUNO S.A.,ACTIVO,VIABLE,5057592.0,7803379.89,0.0,0.0,0.0,CONSTRUCCION E IMPLEMENTACIÓN DE INFRAESTRUCTURA PARA ATENCIÓN AL CLIENTE Y SERVICIOS ADMINISTRATIVOS CON EQUIPOS INFORMÁTICOS Y MOBILIARIO PARA EL MEJORAMIENTO DEL SERVICIO DE ATENCION AL CLIENTE EN LA SEDE ADMINISTRATIVA CENTRAL DE LA EMPRESA MUNICIPAL DE SANEAMIENTO BASICO DE PUNO DISTRITO DE PUNO DFEPARTAMENTO DE PUNO  Consistirá en la construcción de una nueva infraestructura administrativa de atención al cliente teniendo en cuenta 78 ambientes de las cuales 33 son oficinas 12 servicios generales  almacenes archivos estacionamientos depósitos  11 servicios complementarios cafetería auditórium y salas de reuniones 16 unidades de SSHH 10 Halls y salas de estar considerando además la implementación que consiste en mobiliario y equipamiento de unidades informáticas complementando con la capacitación al personal de tal forma que se mejoren sus capacidades dándoles herramientas con las que puedan cumplir mejor su trabajo y por ende mejorar el servicio a la población usuaria,2010-07-01 00:00:00,2015-04-14 00:00:00,"PLANEAMIENTO, GESTIÓN Y RESERVA DE CONTINGENCIA",GESTIÓN,INFRAESTRUCTURA Y EQUIPAMIENTO,SNIP,PIP MAYOR (SNIP),ADMINISTRACIÓN DIRECTA,NO,,,,,SI,NO,NO,,,201709,202405,6987799.06,0.0,,0,,,815580.83,SI,Ejecución física (C),SI,SI,89.74,90.19,2026-02-26 19:44:30,,NO,PUNO,PUNO,PUNO,210101,0.0,0.0,2017-08-03 00:00:00,2027-12-31 00:00:00,2021-01-20 00:00:00,2023-12-01 00:00:00,119208,7311268.01,2026
