CODIGO_UNICO,NOMBRE_INVERSION,PROVINCIA,DISTRITO,ESTADO,SITUACION,AVANCE_FISICO,AVANCE_EJECUCION,ULT_FEC_DECLA_ESTIM,ANTIGUEDAD_REPORTE_FISICO_DIAS,ANTIGUEDAD_REPORTE_FISICO_ANIOS,TIENE_F12B,TIENE_AVAN_FISICO,PRESUPUESTO_EJECUTADO,COSTO_ACTUALIZADO,ADVERTENCIA_AVANCE_FISICO
2645092,"ADQUISICION DE BOMBA DE AGUA EN EL(LA) SECTOR SALLALLIN EN EL CENTRO POBLADO HILATA, DISTRITO DE CAPACHICA, PROVINCIA PUNO, DEPARTAMENTO PUNO",PUNO,CAPACHICA,ACTIVO,APROBADO,100.0,100.0,2025-01-07 16:07:30,593.0,1.6,SI,SI,62620.78,63300.85,Reporte físico desactualizado
2285593,"INSTALACION DEL SISTEMA DE AGUA POTABLE Y DISPOSICION SANITARIA DE EXCRETAS EN LAS COMUNIDADES DE FLORIDA, PILIPILINE, TUTURCUYO, ESQUINAPATA Y YUCAJACHI, DISTRITO DE ACHAYA - AZANGARO - PUNO",AZANGARO,ACHAYA,ACTIVO,VIABLE,100.0,100.0,2025-01-29 13:47:59,571.0,1.6,SI,SI,9476501.55,9476501.55,Reporte físico desactualizado
2625735,"REPARACION DE ESTACION DE BOMBEO DE AGUA EN EL(LA) SISTEMA DE ABASTECIMIENTO DE AGUA DE LA ORGANIZACIÓN COMUNAL JASS SUCAPAYA ¿ LAGUNILLAS CHOCCACHA ¿ CONCHILLA DEL  DISTRITO DE CAMINACA, PROVINCIA AZANGARO, DEPARTAMENTO PUNO",AZANGARO,CAMINACA,ACTIVO,APROBADO,100.0,88.55,2025-02-03 15:29:12,566.0,1.5,SI,SI,23000.0,24019.0,Reporte físico desactualizado
2615437,CREACION DEL SERVICIO DE AGUA POTABLE RURAL EN LA COMUNIDAD DE SAN JERONIMO DE ULLAGACHI DEL   DISTRITO DE VILQUE DE LA PROVINCIA DE PUNO DEL DEPARTAMENTO DE PUNO,PUNO,VILQUE,ACTIVO,VIABLE,25.66,27.53,2025-02-06 14:25:22,563.0,1.5,SI,SI,85507.5,331036.6,Reporte físico desactualizado
2626754,CREACION DEL SERVICIO DE AGUA POTABLE RURAL EN LA COMUNIDAD DE SAN GERONIMO DE ULLAGACHI   DISTRITO DE ATUNCOLLA DE LA PROVINCIA DE PUNO DEL DEPARTAMENTO DE PUNO,PUNO,ATUNCOLLA,ACTIVO,VIABLE,19.24,18.2,2025-02-07 14:08:00,562.0,1.5,SI,SI,57640.0,316645.83,Reporte físico desactualizado
2142933,"MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE AGUA POTABLE DESAGUE- REDES DISTRIBUICION CONEXIONES DOMICILIARIAS  Y PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES  LOCALIDAD CRUCERO, DISTRITO DE CRUCERO - CARABAYA - PUNO",CARABAYA,CRUCERO,ACTIVO,VIABLE,55.0,54.81,2025-02-27 15:10:29,542.0,1.5,SI,SI,8856390.24,11961393.36,Reporte físico desactualizado
2609283,"RENOVACION DE SISTEMA DE ABASTECIMIENTO DE AGUA POTABLE, CONEXIONES DOMICILIARIAS DE AGUA POTABLE, RED DE ALCANTARILLADO Y CONEXION DOMICILIARIA DE ALCANTARILLADO EN EL(LA) JIRÓN ILAVE, PSJE LOS REYES Y PSJE ILAVE DE LA CIUDAD DE ILAVE DEL  DISTRITO DE ILAVE, PROVINCIA EL COLLAO, DEPARTAMENTO PUNO",EL COLLAO,ILAVE,ACTIVO,APROBADO,90.97,90.25,2025-03-14 17:57:45,527.0,1.4,SI,SI,357926.29,563386.25,Reporte físico desactualizado
2608392,"ADQUISICION DE TERRENO EN EL(LA) EN SECTOR COMERCOCHA Y SECTOR CALLPUYO DE LA COMUNIDAD CALLPUYO PARA CAPTACION Y PLANTA DE TRATAMIENTO DE AGUA POTABLE DEL  DISTRITO DE AJOYANI, PROVINCIA CARABAYA, DEPARTAMENTO PUNO",CARABAYA,AJOYANI,ACTIVO,APROBADO,64.6,61.03,2025-03-19 10:22:44,522.0,1.4,SI,SI,111310.0,112500.0,Reporte físico desactualizado
2295143,"INSTALACION DEL SISTEMA DE AGUA POTABLE Y LETRINAS SANITARIAS CON ARRASTRE HIDRAULICO Y BIODIGESTOR EN LA COMUNIDAD DE CAYARANI, DISTRITO DE ORURILLO - MELGAR - PUNO",MELGAR,ORURILLO,ACTIVO,VIABLE,100.0,100.0,2025-03-24 20:34:40,517.0,1.4,SI,SI,1656438.87,1668580.37,Reporte físico desactualizado
2492658,MEJORAMIENTO Y AMPLIACIÓN DEL SERVICIO AGUA POTABLE Y ALCANTARILLADO EN EL CENTRO POBLADO DE CHUQUINE DEL  DISTRITO DE ANANEA - PROVINCIA DE SAN ANTONIO DE PUTINA - DEPARTAMENTO DE PUNO,SAN ANTONIO DE PUTINA,ANANEA,ACTIVO,VIABLE,99.72,99.73,2025-07-17 14:55:41,402.0,1.1,SI,SI,2483937.21,2498491.25,Reporte físico desactualizado
