Prioridad,Orden prelación,Sector,OPMI,Código Único,Código Idea,Tipo inversión,Nombre de inversión,Función,Programa,SubPrograma,Costo actualizado (S/),Devengado acumulado (S/) (al 31 dic. 2025),PIM 2026 (S/),Monto Año 2026 (S/),Monto Año 2027 (S/),Monto Año 2028 (S/),Monto Año 2029 (S/),ARCHIVO_ORIGEN,UBIGEO_DESDE_NOMBRE,UBIGEO_VALIDADO_PMI,UBIGEO_FINAL_VALIDADO,PMI_ENCONTRADO,COINCIDE_NOMBRE_PMI,METODO_EXTRACCION_UBIGEO,CONFIANZA_UBIGEO,ESTADO_UBIGEO,UBIGEOS_CANDIDATOS,OBSERVACION_UBIGEO
11.0,A,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO","OPMI DEL MINISTERIO DE VIVIENDA, CONSTRUCCION Y SANEAMIENTO",2188775.0,,PROYECTO DE INVERSION,"MEJORAMIENTO Y AMPLIACION DEL SISTEMA INTEGRAL DE AGUA POTABLE Y SANEAMIENTO EN LAS LOCALIDADES DE COATA, SUCASCO Y ALMOZANCHE, DISTRITO DE COATA - PUNO - PUNO",SANEAMIENTO,SANEAMIENTO,SANEAMIENTO URBANO,89540212,82983203,633867,4050000.0,3500000.0,52392.41,0.0,Cartera_260824-123814.xlsx,210107,,210107,,,EXTRAIDO_DESDE_NOMBRE,ALTA,RESUELTO,210107,Coincidencia exacta y única por nombre
12.0,A,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO","OPMI DEL MINISTERIO DE VIVIENDA, CONSTRUCCION Y SANEAMIENTO",2198633.0,,PROYECTO DE INVERSION,"AMPLIACIÓN Y MEJORAMIENTO DEL SERVICIO DE AGUA POTABLE E INSTALACIÓN DEL SERVICIO DE SANEAMIENTO DEL CENTRO POBLADO RURAL DE NUEVA FLORIDA, DISTRITO DE BELLAVISTA, PROVINCIA DE BELLAVISTA, DEPARTAMENTO DE SAN MARTÍN",SANEAMIENTO,SANEAMIENTO,SANEAMIENTO RURAL,6152932,6004198,0,0.0,148733.97,0.0,0.0,Cartera_260824-123814.xlsx,220201,,220201,,,EXTRAIDO_DESDE_NOMBRE,ALTA,RESUELTO,220201,Coincidencia resuelta usando provincia BELLAVISTA
13.0,A,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO","OPMI DEL MINISTERIO DE VIVIENDA, CONSTRUCCION Y SANEAMIENTO",2157797.0,,PROYECTO DE INVERSION,"INSTALACION DE LOS SISTEMA DE AGUA POTABLE Y ALCANTARILLADO DE LA LOCALIDAD DE MARCONA, DISTRITO DE MARCONA - NAZCA - ICA",SANEAMIENTO,SANEAMIENTO,SANEAMIENTO URBANO,51626105,47660634,225318,36740.0,2000000.0,1928731.67,0.0,Cartera_260824-123814.xlsx,110304,,110304,,,EXTRAIDO_DESDE_NOMBRE,ALTA,RESUELTO,110304,Coincidencia exacta y única por nombre
15.0,A,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO","OPMI DEL MINISTERIO DE VIVIENDA, CONSTRUCCION Y SANEAMIENTO",2412243.0,143.0,PROYECTO DE INVERSION,"MEJORAMIENTO Y AMPLIACION DE LOS SERVICIOS DE AGUA POTABLE, ALCANTARILLADO Y PTAR EN LA COMUNIDAD CAMPESINA DE SAN PEDRO DE RACCO DEL DISTRITO DE SIMON BOLIVAR - PROVINCIA DE PASCO - DEPARTAMENTO DE PASCO",SANEAMIENTO,SANEAMIENTO,SANEAMIENTO RURAL,4973731,4577334,0,10000.0,396396.82,0.0,0.0,Cartera_260824-123814.xlsx,190109,,190109,,,EXTRAIDO_DESDE_NOMBRE,ALTA,RESUELTO,190109,Coincidencia exacta y única por nombre
16.0,A,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO","OPMI DEL MINISTERIO DE VIVIENDA, CONSTRUCCION Y SANEAMIENTO",2178849.0,,PROYECTO DE INVERSION,"MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE AGUA POTABLE E INSTALACION DE UNIDADES BASICAS DE SANEAMIENTO(UBS) EN LA LOCALIDAD DE CANAL, DISTRITO DE SAMUGARI, PROVINCIA DE LA MAR - AYACUCHO",SANEAMIENTO,SANEAMIENTO,SANEAMIENTO RURAL,4721272,4623167,0,0.0,25000.0,23105.69,0.0,Cartera_260824-123814.xlsx,050509,,050509,,,EXTRAIDO_DESDE_NOMBRE,ALTA,RESUELTO,050509,Coincidencia exacta y única por nombre
17.0,A,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO","OPMI DEL MINISTERIO DE VIVIENDA, CONSTRUCCION Y SANEAMIENTO",2133298.0,,PROYECTO DE INVERSION,"MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO DE LA LOCALIDAD DE ASILLO , DISTRITO DE ASILLO - AZANGARO - PUNO",SANEAMIENTO,SANEAMIENTO,SANEAMIENTO URBANO,14268975,13528416,0,690559.0,740559.49,0.0,0.0,Cartera_260824-123814.xlsx,210204,,210204,,,EXTRAIDO_DESDE_NOMBRE,ALTA,RESUELTO,210204,Coincidencia exacta y única por nombre
18.0,A,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO","OPMI DEL MINISTERIO DE VIVIENDA, CONSTRUCCION Y SANEAMIENTO",2079199.0,,PROYECTO DE INVERSION,"MEJORAMIENTO Y AMPLIACION DE LOS SISTEMAS DE AGUA POTABLE, DESAGUE Y PLANTA DE TRATAMIENTO EN EL CENTRO POBLADO DE HUYRO , DISTRITO DE HUAYOPATA - LA CONVENCION - CUSCO",SANEAMIENTO,SANEAMIENTO,SANEAMIENTO URBANO,8439176,7876093,0,0.0,184182.13,0.0,0.0,Cartera_260824-123814.xlsx,080903,,080903,,,EXTRAIDO_DESDE_NOMBRE,ALTA,RESUELTO,080903,Coincidencia exacta y única por nombre
19.0,A,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO","OPMI DEL MINISTERIO DE VIVIENDA, CONSTRUCCION Y SANEAMIENTO",2168996.0,,PROYECTO DE INVERSION,CONSTRUCCIÓN Y MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE Y LETRINAS DE LAS LOCALIDADES DE DE SANTA ROSA Y SAN VICENTE DE PIEDRA RODADA - DISTRITO Y PROVINCIA DE SULLANA - DEPARTAMENTO DE PIURA,SANEAMIENTO,SANEAMIENTO,SANEAMIENTO RURAL,10028834,9575102,0,0.0,453732.0,0.0,0.0,Cartera_260824-123814.xlsx,,200601,200601,SI,SI,VALIDADO_PMI_POR_CUI,ALTA,RESUELTO,,"No se detectó patrón ""DISTRITO DE"" en el nombre | Validado por PMI: SULLANA"
20.0,A,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO","OPMI DEL MINISTERIO DE VIVIENDA, CONSTRUCCION Y SANEAMIENTO",2191608.0,,PROYECTO DE INVERSION,"MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE, SERVICIO DE ALCANTARILLADO Y TRATAMIENTO DE AGUAS RESIDUALES EN LA CIUDAD DE SAN MIGUEL, DISTRITO DE SAN MIGUEL, PROVINCIA DE LA MAR - AYACUCHO",SANEAMIENTO,SANEAMIENTO,SANEAMIENTO URBANO,12059550,11972172,8000,10000.0,30000.0,27377.63,0.0,Cartera_260824-123814.xlsx,050501,,050501,,,EXTRAIDO_DESDE_NOMBRE,ALTA,RESUELTO,050501,Coincidencia resuelta usando provincia LA MAR
22.0,A,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO","OPMI DEL MINISTERIO DE VIVIENDA, CONSTRUCCION Y SANEAMIENTO",2500953.0,,PROYECTO DE INVERSION,"MEJORAMIENTO DEL SISTEMA DE DRENAJE PLUVIAL DEL JR. ENRIQUE LÓPEZ C-03, C-04, JR. RAMÓN CASTILLA C-01, C-02, JR. RICARDO PALMA C-01, C-02, AV 20 DE MAYO C-04, C-05, C-06, JR. ADELINA RAMÍREZ C-01, PSJ SIN NOMBRE C-01, JR LOS JARDINES C-01, JESÚS MORÍ C-01, EN EL CASERIO 20 DE MAYO DEL DISTRITO DE SAN JOSE DE SISA - PROVINCIA DE EL DORADO - DEPARTAMENTO DE SAN MARTIN",SANEAMIENTO,SANEAMIENTO,SANEAMIENTO URBANO,4849357,4845221,4136,4136.0,0.0,0.0,0.0,Cartera_260824-123814.xlsx,220301,,220301,,,EXTRAIDO_DESDE_NOMBRE,ALTA,RESUELTO,220301,Coincidencia exacta y única por nombre
24.0,A,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO","OPMI DEL MINISTERIO DE VIVIENDA, CONSTRUCCION Y SANEAMIENTO",2272942.0,,PROYECTO DE INVERSION,"MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE, ALCANTARILLADO Y PTAR DE LA PC HAQUIRA, DISTRITO DE HAQUIRA - COTABAMBAS - APURIMAC",SANEAMIENTO,SANEAMIENTO,SANEAMIENTO RURAL,17060851,16507443,10000,10000.0,30000.0,23408.26,0.0,Cartera_260824-123814.xlsx,030504,,030504,,,EXTRAIDO_DESDE_NOMBRE,ALTA,RESUELTO,030504,Coincidencia exacta y única por nombre
25.0,A,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO","OPMI DEL MINISTERIO DE VIVIENDA, CONSTRUCCION Y SANEAMIENTO",2168929.0,,PROYECTO DE INVERSION,"CONSTRUCCIÓN DEL SISTEMA DE AGUA POTABLE Y SANEAMIENTO EN LAS LOCALIDADES DE PAMPA ELERA BAJA Y  ALTA, PUEBLO NUEVO DE PAMPA ELERA ALTA, CHIPILLICO, POTRERILLO, EL SAUCE, MONTE DE LOS OLIVOS Y TONGAL, DISTRITO LAS LOMAS, PROV. DE PIURA, DEP. DE PIURA",SANEAMIENTO,SANEAMIENTO,SANEAMIENTO RURAL,30635527,18287176,1198246,350000.0,50000.0,0.0,0.0,Cartera_260824-123814.xlsx,,200111,200111,SI,SI,VALIDADO_PMI_POR_CUI,ALTA,RESUELTO,,"No se detectó patrón ""DISTRITO DE"" en el nombre | Validado por PMI: LAS LOMAS"
26.0,A,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO","OPMI DEL MINISTERIO DE VIVIENDA, CONSTRUCCION Y SANEAMIENTO",2295629.0,,PROYECTO DE INVERSION,"MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE E INSTALACION DEL SERVICIO DE SANEAMIENTO EN EL CENTRO POBLADO BARRANQUITA, DISTRITO DE PICOTA , PROVINCIA DE PICOTA - SAN MARTIN",SANEAMIENTO,SANEAMIENTO,SANEAMIENTO RURAL,4568957,3489866,0,10000.0,50000.0,0.0,0.0,Cartera_260824-123814.xlsx,220701,,220701,,,EXTRAIDO_DESDE_NOMBRE,ALTA,RESUELTO,220701,Coincidencia exacta y única por nombre
27.0,A,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO","OPMI DEL MINISTERIO DE VIVIENDA, CONSTRUCCION Y SANEAMIENTO",2280879.0,,PROYECTO DE INVERSION,AMPLIACION DEL SISTEMA DE DISTRIBUCION DE AGUA POTABLE DE LA CIUDAD DEL CUSCO,SANEAMIENTO,SANEAMIENTO,SANEAMIENTO URBANO,14735943,13441460,1033030,1042030.0,252453.0,0.0,0.0,Cartera_260824-123814.xlsx,,,,NO,NO,FALLIDO,BAJA,REVISAR_CONFLICTO,,"No se detectó patrón ""DISTRITO DE"" en el nombre | Datos PMI no cruzaron con GPKG (- TODOS - - CUSCO)"
28.0,A,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO","OPMI DEL MINISTERIO DE VIVIENDA, CONSTRUCCION Y SANEAMIENTO",2539320.0,,PROYECTO DE INVERSION,MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE Y DISPOSICIÓN SANITARIA DE EXCRETAS DE LA LOCALIDAD LA MENTA ALTA DEL DISTRITO DE LAS LOMAS - PROVINCIA DE PIURA - DEPARTAMENTO DE PIURA,SANEAMIENTO,SANEAMIENTO,SANEAMIENTO RURAL,4466413,4256449,83500,910335.0,116464.29,0.0,0.0,Cartera_260824-123814.xlsx,200111,,200111,,,EXTRAIDO_DESDE_NOMBRE,ALTA,RESUELTO,200111,Coincidencia exacta y única por nombre
29.0,A,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO","OPMI DEL MINISTERIO DE VIVIENDA, CONSTRUCCION Y SANEAMIENTO",2325346.0,,PROYECTO DE INVERSION,"CREACION DEL SISTEMA DE DRENAJE PLUVIAL  EN LOS JIRONES MARIANO BELLIDO, 24 DE JUNIO, LA MAR, MUNIVE, MADRID Y WARI, DISTRITO DE SAN JUAN BAUTISTA - HUAMANGA - AYACUCHO",SANEAMIENTO,SANEAMIENTO,SANEAMIENTO URBANO,7797652,7797652,0,0.0,2000.0,0.0,0.0,Cartera_260824-123814.xlsx,,050110,050110,SI,SI,VALIDADO_PMI_POR_CUI,ALTA,RESUELTO,"050110, 160113, 110110",Distrito SAN JUAN BAUTISTA es ambiguo y no se extrajo provincia | Validado por PMI: SAN JUAN BAUTISTA
31.0,A,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO","OPMI DEL MINISTERIO DE VIVIENDA, CONSTRUCCION Y SANEAMIENTO",2170972.0,,PROYECTO DE INVERSION,"INSTALACION DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO BASICO DE LA LOCALIDAD DE PALTARUMI, DISTRITO DE DANIEL HERNANDEZ - TAYACAJA - HUANCAVELICA",SANEAMIENTO,SANEAMIENTO,SANEAMIENTO RURAL,3632651,3598359,4000,4039.0,0.0,0.0,0.0,Cartera_260824-123814.xlsx,090706,,090706,,,EXTRAIDO_DESDE_NOMBRE,ALTA,RESUELTO,090706,Coincidencia exacta y única por nombre
31.0,A,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO","OPMI DEL MINISTERIO DE VIVIENDA, CONSTRUCCION Y SANEAMIENTO",2170995.0,,PROYECTO DE INVERSION,"INSTALACION DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO BASICO DE LA LOCALIDAD DE VILLAPAMPA - RUPASCCA, DISTRITO DE YAULI - HUANCAVELICA - HUANCAVELICA",SANEAMIENTO,SANEAMIENTO,SANEAMIENTO RURAL,4355965,4266526,0,0.0,39438.78,0.0,0.0,Cartera_260824-123814.xlsx,,090117,090117,SI,SI,VALIDADO_PMI_POR_CUI,ALTA,RESUELTO,"120810, 090117, 120433",Distrito YAULI es ambiguo y no se extrajo provincia | Validado por PMI: YAULI
32.0,A,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO","OPMI DEL MINISTERIO DE VIVIENDA, CONSTRUCCION Y SANEAMIENTO",2170980.0,,PROYECTO DE INVERSION,"INSTALACION DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO BASICO DE LA LOCALIDAD DE QUINTAO , DISTRITO DE COLCABAMBA - TAYACAJA - HUANCAVELICA",SANEAMIENTO,SANEAMIENTO,SANEAMIENTO RURAL,2437716,2385798,0,0.0,31918.02,0.0,0.0,Cartera_260824-123814.xlsx,,090705,090705,SI,SI,VALIDADO_PMI_POR_CUI,ALTA,RESUELTO,"090705, 020103, 030405",Distrito COLCABAMBA es ambiguo y no se extrajo provincia | Validado por PMI: COLCABAMBA
33.0,A,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO","OPMI DEL MINISTERIO DE VIVIENDA, CONSTRUCCION Y SANEAMIENTO",2235420.0,,PROYECTO DE INVERSION,"MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE E INSTALACION DE LA DISPOSICION SANITARIA DE EXCRETAS Y DE AGUAS GRISES EN LA COMUNIDAD NATIVA DE YUPICUSA, DISTRITO DE IMAZA, PROVINCIA DE BAGUA, DEPARTAMENTO DE AMAZONAS",SANEAMIENTO,SANEAMIENTO,SANEAMIENTO RURAL,7124240,7035792,0,40332.0,48115.7,0.0,0.0,Cartera_260824-123814.xlsx,010205,,010205,,,EXTRAIDO_DESDE_NOMBRE,ALTA,RESUELTO,010205,Coincidencia exacta y única por nombre
34.0,A,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO","OPMI DEL MINISTERIO DE VIVIENDA, CONSTRUCCION Y SANEAMIENTO",2280260.0,,PROYECTO DE INVERSION,"MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO BASICO EN EL CENTRO POBLADO SANTA ROSA, DISTRITO DE SANTO TOMAS - CUTERVO - CAJAMARCA",SANEAMIENTO,SANEAMIENTO,SANEAMIENTO RURAL,3032111,2498884,17029,10000.0,506198.32,0.0,0.0,Cartera_260824-123814.xlsx,,060613,060613,SI,SI,VALIDADO_PMI_POR_CUI,ALTA,RESUELTO,"060613, 080701, 010521",Distrito SANTO TOMAS es ambiguo y no se extrajo provincia | Validado por PMI: SANTO TOMAS
35.0,A,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO","OPMI DEL MINISTERIO DE VIVIENDA, CONSTRUCCION Y SANEAMIENTO",2235702.0,,PROYECTO DE INVERSION,"AMPLIACION Y MEJORAMIENTO DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO DEL CENTRO POBLADO SAN PEDRO ALTO, DISTRITO DE AGALLPAMPA - OTUZCO - LA LIBERTAD",SANEAMIENTO,SANEAMIENTO,SANEAMIENTO RURAL,2871477,2819204,0,10000.0,52272.87,0.0,0.0,Cartera_260824-123814.xlsx,130602,,130602,,,EXTRAIDO_DESDE_NOMBRE,ALTA,RESUELTO,130602,Coincidencia exacta y única por nombre
37.0,A,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO","OPMI DEL MINISTERIO DE VIVIENDA, CONSTRUCCION Y SANEAMIENTO",2178853.0,,PROYECTO DE INVERSION,"MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE AGUA POTABLE E INSTALACION DE UNIDADES BASICAS DE SANEAMIENTO (UBS) EN LA LOCALIDAD DE HUAYAO, DISTRITO DE TAMBO, PROVINCIA DE LA MAR - AYACUCHO",SANEAMIENTO,SANEAMIENTO,SANEAMIENTO RURAL,4267599,4183867,0,10000.0,83732.49,0.0,0.0,Cartera_260824-123814.xlsx,050508,,050508,,,EXTRAIDO_DESDE_NOMBRE,ALTA,RESUELTO,050508,Coincidencia resuelta usando provincia LA MAR
