CODIGO_UNICO,NOMBRE_INVERSION,PROVINCIA,DISTRITO,LATITUD,LONGITUD,TIPO_COORDENADA,EPS_PRESTACION,TIENE_EPS_PRESTACION,DENTRO_EPS,CATEGORIA_COORD
2422709,"ADQUISICIÓN DE EQUIPOS DE BOMBEO A TRAVÉS DE LA LÍNEA DE FLUJO, KITS DE VÁLVULAS Y  EN EL(LA) SALA DE IMPULSIÓN N° 01 Y 02 DE LA PLANTA DE TRATAMIENTO DE AGUA POTABLE AYABACAS DE LA EPS SEDAJULIACA S.A. EN LA LOCALIDAD JULIACA, DISTRITO DE JULIACA, PROVINCIA SAN ROMAN, DEPARTAMENTO PUNO",SAN ROMAN,JULIACA,-15.49355678999996,-70.13484863999997,OFICIAL_ORIGINAL,EPS SEDAJULIACA S.A.,SI,SI,OFICIAL
2255956,"MEJORAMIENTO Y AMPLIACIÓN DEL SERVICIO DE AGUA POTABLE E INSTALACIÓN DEL SERVICIO DE DISPOSICIÓN SANITARIA DE EXCRETAS DEL CENTRO POBLADO DE CENTRAL SORAPA, DISTRITO DE JULI, PROVINCIA DE CHUCUITOS- REGIÓN PUNO",CHUCUITO,JULI,-16.310292,-69.5021872,APROXIMADA_DISTRITO,SIN_EPS_IDENTIFICADA,NO,NO,APROXIMADA
2284002,"MEJORAMIENTO Y AMPLIACION DE LOS SERVICIOS DE AGUA POTABLE Y SANEAMIENTO DEL CENTRO POBLADO DE CHALLHUAMAYO , DISTRITO DE SAN GABAN - CARABAYA - PUNO",CARABAYA,SAN GABAN,-13.5396038,-70.4087141,APROXIMADA_DISTRITO,SIN_EPS_IDENTIFICADA,NO,NO,APROXIMADA
2302961,MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE Y CREACION DEL SERVICIO DE DISPOSICION SANITARIA DE EXCRETAS EN EL SECTOR DE CHALLACOLLO DE LA COMUNIDAD CAMPESINA SISIPA CHALLACOLLO - DISTRITO DE POMATA - PROVINCIA DE CHUCUITO - DEPARTAMENTO DE PUNO,CHUCUITO,POMATA,-16.3694998,-69.2947975,APROXIMADA_DISTRITO,SIN_EPS_IDENTIFICADA,NO,NO,APROXIMADA
2617443,"MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE RURAL EN SANEAMIENTO BASICO EN LA LOCALIDAD DE KELLUYO Y LOS SECTORES DE JACHA QUELUYO, ISCACHACOCOLLO Y LIMACHI DE LA COMUNIDAD DE ALTO ARACACHI QUELUYO EN EL   DISTRITO DE KELLUYO DE LA PROVINCIA DE CHUCUITO DEL DEPARTAMENTO DE PUNO",CHUCUITO,KELLUYO,-16.72711377820454,-69.24965434424361,OFICIAL_ORIGINAL,SIN_EPS_IDENTIFICADA,NO,NO,OFICIAL
2604435,"CREACION DEL SERVICIO DE AGUA POTABLE RURAL Y CREACION DEL SERVICIO DE ALCANTARILLADO U OTRAS FORMAS DE DISPOSICIÓN SANITARIA DE EXCRETAS EN LAS LOCALIDADES DE PAJCHACUYO, MILLICUYO, CONDORIQUIÑA, MUNAYPA, CHULLOCOTA, CHIJURANI, TURPUTIA, PONGONI, HUANCASAYANI Y LLINQUIPATA, DISTRITO DE INCHUPALLA,   DISTRITO DE HUANCANE DE LA PROVINCIA DE HUANCANE DEL DEPARTAMENTO DE PUNO",HUANCANE,HUANCANE,-15.057763377904475,-69.77947394498212,OFICIAL_ORIGINAL,SIN_EPS_IDENTIFICADA,NO,NO,OFICIAL
2644748,"CONSTRUCCION DE CERCO PERIMETRICO, SISTEMA DE BOMBEO Y LÍNEA DE IMPULSIÓN EN EL(LA) PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES DE ALTO PUNO  DISTRITO DE PUNO, PROVINCIA PUNO, DEPARTAMENTO PUNO",PUNO,PUNO,-15.809019025954342,-70.03701805714958,OFICIAL_ORIGINAL,SIN_EPS_IDENTIFICADA,NO,NO,OFICIAL
2706491,"RENOVACION DE CAMARA DE CONTROL, LINEA DE CONDUCCION Y RED DE DISTRIBUCION REPARACION DE RESERVORIO EN EL(LA) SISTEMA DE AGUA POTABLE DE LA LOCALIDAD DE VILCALLAME SECTOR CENTRAL,  DISTRITO DE JULI, PROVINCIA CHUCUITO, DEPARTAMENTO PUNO",CHUCUITO,JULI,-16.238992693057092,-69.41120594756919,OFICIAL_ORIGINAL,SIN_EPS_IDENTIFICADA,NO,NO,OFICIAL
2704926,"CONSTRUCCION DE CAPTACION DE AGUA , ESTACION DE BOMBEO DE AGUA, LINEA DE IMPULSION Y RESERVORIO ADEMÁS DE OTROS ACTIVOS EN EL(LA) COMUNIDAD CAMPESINA DE CONCHACA DEL  DISTRITO DE ILAVE, PROVINCIA EL COLLAO, DEPARTAMENTO PUNO",EL COLLAO,ILAVE,-16.062059860190878,-69.656252255284,OFICIAL_ORIGINAL,SIN_EPS_IDENTIFICADA,NO,NO,OFICIAL
2697472,MEJORAMIENTO DEL SERVICIO DE ALCANTARILLADO Y MEJORAMIENTO DEL SERVICIO DE TRATAMIENTO DE AGUAS RESIDUALES PARA DISPOSICIÓN FINAL EN INFRAESTRUCTURA DE PTAR EN LA LOCALIDAD DE SANTIAGO DEPUPUJA   DISTRITO DE SANTIAGO DE PUPUJA DE LA PROVINCIA DE AZANGARO DEL DEPARTAMENTO DE PUNO,AZANGARO,SANTIAGO DE PUPUJA,-15.053697077198256,-70.27680383167008,OFICIAL_ORIGINAL,SIN_EPS_IDENTIFICADA,NO,NO,OFICIAL
