CODIGO_UNICO,LATITUD_NUEVA,LONGITUD_NUEVA,FUENTE_COORDENADA,TIPO_COORDENADA,ESTADO_ENRIQUECIMIENTO
2186390,-15.5048145,-72.8340427,OSM_NOMINATIM,APROXIMADA_LOCALIDAD,COMPLETADO_APROXIMADO
2029644,-16.3988667,-71.5369607,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2214751,-15.5121703,-74.8392326,OSM_NOMINATIM,APROXIMADA_LOCALIDAD,COMPLETADO_APROXIMADO
2322805,-15.9691374,-72.4751512,OSM_NOMINATIM,APROXIMADA_LOCALIDAD,COMPLETADO_APROXIMADO
2319385,-15.4010097,-71.2904086,OSM_NOMINATIM,APROXIMADA_LOCALIDAD,COMPLETADO_APROXIMADO
2320029,-16.6248458,-72.7114514,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2328311,-16.3242988,-72.2878298,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2070717,-16.4210931,-71.474928,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2544404,-16.2012575,-72.4757474,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2086583,-16.3988667,-71.5369607,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2226049,-16.0170279,-72.5307193,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2245925,-16.297999,-71.573948,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2334812,-16.725199,-71.8611638,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2044077,-16.297999,-71.573948,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2285948,-15.6504885,-72.5054401,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2161852,-17.0894045,-71.7592172,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2333058,-15.8388532,-72.6518449,OSM_NOMINATIM,APROXIMADA_LOCALIDAD,COMPLETADO_APROXIMADO
2240073,-15.1450132,-72.7445853,OSM_NOMINATIM,APROXIMADA_LOCALIDAD,COMPLETADO_APROXIMADO
2196551,-16.3376419,-71.4968918,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2132733,-16.3242988,-72.2878298,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2204067,-16.4689321,-71.5380727,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2381031,-16.4714183,-71.9630459,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2030004,-16.4940778,-72.0944241,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2309952,-16.4314792,-73.1049285,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2215858,-15.2898837,-72.9397588,OSM_NOMINATIM,APROXIMADA_LOCALIDAD,COMPLETADO_APROXIMADO
2332437,-15.3545528,-73.2323916,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2060849,-16.4632386,-71.6048807,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2078291,-16.3659477,-71.453062,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2378776,-16.3376419,-71.4968918,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2192668,-16.4591236,-71.5689479,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2454302,-16.4251651,-71.6727116,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2282693,-15.9304718,-71.1051864,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2263818,,,,,PENDIENTE
2328016,-17.1024574,-71.9066384,OSM_NOMINATIM,APROXIMADA_LOCALIDAD,COMPLETADO_APROXIMADO
2182623,-15.1481182,-72.0725142,OSM_NOMINATIM,APROXIMADA_LOCALIDAD,COMPLETADO_APROXIMADO
2113849,-16.894596,-72.1025753,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2307759,-16.4689321,-71.5380727,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2221524,-16.1602144,-71.614073,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2380308,-16.4689321,-71.5380727,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2146547,-16.3242988,-72.2878298,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2084038,-16.4632386,-71.6048807,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2189060,-16.1602144,-71.614073,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2372057,-16.0369267,-72.7997112,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2226431,-15.7170802,-71.3193704,OSM_NOMINATIM,APROXIMADA_LOCALIDAD,COMPLETADO_APROXIMADO
2341825,-15.7304769,-72.1081153,OSM_NOMINATIM,APROXIMADA_LOCALIDAD,COMPLETADO_APROXIMADO
2038711,-16.3376419,-71.4968918,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2087380,-17.0292533,-72.0155447,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2333895,-15.6366885,-71.602217,OSM_NOMINATIM,APROXIMADA_LOCALIDAD,COMPLETADO_APROXIMADO
2311022,-16.4331715,-71.5233141,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2030794,-16.2793942,-71.4603116,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2323733,-17.0292533,-72.0155447,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2327442,-16.0764611,-72.4921172,OSM_NOMINATIM,APROXIMADA_LOCALIDAD,COMPLETADO_APROXIMADO
2110002,-16.297999,-71.573948,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2322655,-16.297999,-71.573948,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2308333,-16.4210931,-71.474928,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2052070,-16.297999,-71.573948,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2087301,-16.6248458,-72.7114514,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2159794,-16.0170279,-72.5307193,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
2331087,-16.297999,-71.573948,OSM_NOMINATIM,APROXIMADA_DISTRITO,COMPLETADO_APROXIMADO
